h approx_res analytical_res
6.13 0.999501 0.999501
6.14 0.999511 0.999511
6.15 0.999521 0.999521
6.16 0.99953 0.999531
6.17 0.99954 0.99954
6.18 0.999549 0.999549
6.19 0.999558 0.999559
6.2 0.999567 0.999568
6.21 0.999576 0.999576
6.22 0.999585 0.999585
6.23 0.999593 0.999594
6.24 0.999602 0.999602
6.25 0.99961 0.99961
6.26 0.999618 0.999618
6.27 0.999626 0.999626
6.28 0.999633 0.999634
6.29 0.999641 0.999641
6.3 0.999648 0.999649
6.31 0.999656 0.999656
6.32 0.999663 0.999663
6.33 0.99967 0.99967
6.34 0.999676 0.999677
6.35 0.999683 0.999683
6.36 0.99969 0.99969
6.37 0.999696 0.999696
6.38 0.999703 0.999703
6.39 0.999709 0.999709
6.4 0.999715 0.999715
6.41 0.999721 0.999721
6.42 0.999727 0.999727
6.43 0.999732 0.999733
6.44 0.999738 0.999738
6.45 0.999744 0.999744
6.46 0.999749 0.999749
6.47 0.999754 0.999754
6.48 0.999759 0.99976
6.49 0.999765 0.999765
6.5 0.99977 0.99977
6.51 0.999774 0.999775
6.52 0.999779 0.999779
6.53 0.999784 0.999784
6.54 0.999789 0.999789
6.55 0.999793 0.999793
6.56 0.999797 0.999798
6.57 0.999802 0.999802
6.58 0.999806 0.999806
6.59 0.99981 0.99981
6.6 0.999814 0.999814
6.61 0.999818 0.999818
6.62 0.999822 0.999822
6.63 0.999826 0.999826
6.64 0.99983 0.99983
6.65 0.999833 0.999834
6.66 0.999837 0.999837
6.67 0.999841 0.999841
6.68 0.999844 0.999844
6.69 0.999847 0.999848
6.7 0.999851 0.999851
6.71 0.999854 0.999854
6.72 0.999857 0.999857
6.73 0.99986 0.99986
6.74 0.999863 0.999863
6.75 0.999866 0.999866
6.76 0.999869 0.999869
6.77 0.999872 0.999872
6.78 0.999875 0.999875
6.79 0.999878 0.999878
6.8 0.99988 0.999881
6.81 0.999883 0.999883
6.82 0.999886 0.999886
6.83 0.999888 0.999888
6.84 0.999891 0.999891
6.85 0.999893 0.999893
6.86 0.999895 0.999896
6.87 0.999898 0.999898
6.88 0.9999 0.9999
6.89 0.999902 0.999902
6.9 0.999904 0.999905
6.91 0.999907 0.999907
6.92 0.999909 0.999909
6.93 0.999911 0.999911
6.94 0.999913 0.999913
6.95 0.999915 0.999915
6.96 0.999917 0.999917
6.97 0.999918 0.999919
6.98 0.99992 0.99992
6.99 0.999922 0.999922
7 0.999924 0.999924
7.01 0.999926 0.999926
7.02 0.999927 0.999927
7.03 0.999929 0.999929
7.04 0.999931 0.999931
7.05 0.999932 0.999932
7.06 0.999934 0.999934
7.07 0.999935 0.999935
7.08 0.999937 0.999937
7.09 0.999938 0.999938
